"Status","Name","Duration in ms","Description"
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1489",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1608",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1984",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","2199",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","4",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","4",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","4",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","3",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","3",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1960",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","3",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1386",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1927",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","3",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","3",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1075",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1906",""
"passed","case.test_fas_pay.TestCreateOrder#test_create_order","1511",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","5",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1987",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","5",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","24",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1495",""
"failed","case.test_fas_pay.TestCreateOrder#test_create_order","1424",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1453",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","4",""
"broken","case.test_fas_pay.TestCreateOrder#test_create_order","4",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1803",""
"skipped","test_fas_pay.TestCreateOrder#test_create_order","1377",""
